S051	1	1	1	1	0	1
S057	-1	1	1	1	-1	1
S105	1	1	-1	-1	1	1
S118	-1	1	-1	-1	1	1
S127	1	1	1	1	1	1
S131	-1	1	1	1	1	1
S136	1	1	1	1	1	1
S153	1	1	-1	-1	-1	1
S166	1	1	1	1	1	1
S167	1	1	1	1	1	1
S172	1	-1	1	1	-1	1
S173	1	1	1	1	1	1
S174	1	1	-1	1	1	1
S176	1	1	1	1	1	0
S182	1	1	1	1	1	1
S184	-1	1	-1	-1	1	1
S197	1	1	-1	-1	1	1
S198	1	1	1	1	1	1
S201	1	1	1	1	1	1
S209	1	1	1	1	1	1
S210	1	1	1	1	1	1
S212	1	1	-1	-1	1	1
S213	1	1	1	1	1	1
S221	1	1	1	1	1	1
S223	1	1	1	1	1	1
S229	1	1	1	1	1	1
S235	1	1	1	1	1	1
S236	-1	1	-1	-1	1	1
S243	1	1	-1	1	1	1
S245	1	1	-1	1	1	1
S247	-1	-1	1	1	-1	1
S252	1	1	1	1	1	1
S253	1	-1	1	1	-1	1
S254	1	1	-1	-1	-1	1
S257	1	1	1	1	1	1
S258	1	1	1	1	1	1
S259	1	1	1	1	1	1
S260	1	1	1	1	1	1
S261	1	1	-1	-1	1	1
S266	-1	-1	-1	-1	-1	1
S270	1	1	1	1	1	1
S275	1	1	1	1	1	1
S277	1	1	1	1	1	1
S281	-1	0	0	0	0	0
S282	1	1	1	1	1	1
S283	1	1	1	1	1	1
S284	1	1	1	1	1	1
S287	1	1	-1	-1	1	1
S288	1	1	1	1	1	1
S289	1	1	1	1	1	1
S290	1	1	1	-1	1	1
S293	-1	1	1	1	1	1
S295	1	1	1	1	1	1
S299	-1	1	-1	-1	1	1
S300	1	1	-1	-1	1	1
S301	-1	-1	-1	-1	1	1
S302	-1	-1	-1	-1	0	1
S303	1	1	-1	-1	1	1
S305	1	1	1	-1	1	1
S306	1	1	1	1	1	1
S307	1	1	1	1	1	1
S308	1	-1	1	1	1	1
S309	1	1	1	1	1	1
S310	1	1	-1	-1	1	1
S311	1	1	1	1	1	1
S312	1	1	-1	1	1	1
S313	-1	-1	-1	1	-1	1
S314	1	1	1	1	1	1
S315	1	1	1	1	1	1
S316	1	1	1	1	1	1
S317	1	1	-1	-1	-1	1
S318	1	1	1	1	1	1
S319	1	1	1	1	1	1
S320	1	1	1	1	1	1
S321	1	1	1	1	1	1
S322	1	-1	1	1	-1	1
S323	-1	-1	-1	-1	-1	1
S324	1	1	1	1	1	1
S325	1	1	1	1	1	1
S326	1	1	1	1	1	1
S327	1	1	1	1	1	1
S330	1	1	1	1	1	1
S331	1	1	1	1	1	1
S332	1	-1	1	1	-1	1
S335	1	1	1	1	0	1
S337	1	1	1	1	1	1
S338	1	1	1	1	1	1
S339	1	1	-1	-1	0	0
S340	1	1	-1	-1	1	1
S341	1	1	1	1	1	1
S342	1	1	1	1	1	1
S343	1	1	1	1	1	1
S344	1	1	1	1	1	1
S345	-1	1	-1	-1	1	1
S346	-1	-1	-1	-1	-1	1
S347	1	0	-1	1	0	1
S348	-1	-1	0	-1	-1	1
S349	1	1	-1	-1	1	1
S350	-1	1	-1	-1	1	1
S351	-1	1	-1	-1	1	1
S352	0	1	1	-1	1	1
